Adiac,0.608695652,0.636828645,0.618925831,0.626598465,0.631713555,0.662404092,0.62915601,0.624040921,0.626598465,0.652173913,0.603580563,0.6342711,0.639386189,0.636828645,0.644501279,0.618925831,0.644501279,0.644501279,0.585677749,0.639386189,0.624040921,0.621483376,0.631713555,0.636828645,0.593350384,0.6342711,0.616368286,0.618925831,0.657289003,0.670076726,0.649616368,0.621483376,0.621483376,0.621483376,0.639386189,0.616368286,0.624040921,0.626598465,0.616368286,0.636828645,0.621483376,0.621483376,0.657289003,0.601023018,0.644501279,0.621483376,0.621483376,0.641943734,0.626598465,0.6342711,0.618925831,0.647058824,0.598465473,0.595907928,0.621483376,0.618925831,0.613810742,0.618925831,0.618925831,0.654731458,0.6342711,0.616368286,0.624040921,0.6342711,0.621483376,0.647058824,0.654731458,0.613810742,0.621483376,0.641943734,0.626598465,0.654731458,0.616368286,0.590792839,0.6342711,0.654731458,0.654731458,0.654731458,0.6342711,0.649616368,0.62915601,0.611253197,0.62915601,0.601023018,0.62915601,0.6342711,0.639386189,0.608695652,0.613810742,0.626598465,0.616368286,0.618925831,0.636828645,0.616368286,0.608695652,0.6342711,0.613810742,0.641943734,0.641943734,0.613810742
ArrowHead,0.8,0.834285714,0.788571429,0.828571429,0.828571429,0.868571429,0.84,0.834285714,0.834285714,0.868571429,0.845714286,0.84,0.794285714,0.811428571,0.817142857,0.805714286,0.782857143,0.851428571,0.84,0.822857143,0.874285714,0.84,0.851428571,0.851428571,0.84,0.822857143,0.834285714,0.794285714,0.845714286,0.874285714,0.862857143,0.857142857,0.862857143,0.857142857,0.845714286,0.788571429,0.754285714,0.765714286,0.788571429,0.811428571,0.822857143,0.817142857,0.811428571,0.805714286,0.891428571,0.845714286,0.8,0.771428571,0.828571429,0.874285714,0.811428571,0.834285714,0.834285714,0.811428571,0.817142857,0.88,0.851428571,0.891428571,0.868571429,0.845714286,0.817142857,0.788571429,0.828571429,0.857142857,0.817142857,0.771428571,0.817142857,0.868571429,0.8,0.857142857,0.845714286,0.868571429,0.857142857,0.874285714,0.874285714,0.822857143,0.771428571,0.805714286,0.817142857,0.84,0.868571429,0.845714286,0.834285714,0.811428571,0.874285714,0.851428571,0.874285714,0.828571429,0.874285714,0.811428571,0.748571429,0.794285714,0.845714286,0.805714286,0.8,0.811428571,0.788571429,0.828571429,0.811428571,0.874285714
Beef,0.666666667,0.566666667,0.6,0.566666667,0.6,0.433333333,0.6,0.633333333,0.5,0.6,0.6,0.5,0.6,0.3,0.566666667,0.533333333,0.466666667,0.533333333,0.466666667,0.533333333,0.533333333,0.633333333,0.433333333,0.5,0.5,0.333333333,0.5,0.5,0.6,0.5,0.666666667,0.466666667,0.566666667,0.433333333,0.5,0.633333333,0.566666667,0.333333333,0.633333333,0.566666667,0.566666667,0.533333333,0.666666667,0.466666667,0.566666667,0.533333333,0.466666667,0.6,0.666666667,0.6,0.466666667,0.533333333,0.3,0.533333333,0.566666667,0.5,0.433333333,0.7,0.466666667,0.466666667,0.4,0.533333333,0.566666667,0.566666667,0.566666667,0.633333333,0.466666667,0.5,0.466666667,0.433333333,0.466666667,0.5,0.566666667,0.533333333,0.466666667,0.633333333,0.5,0.566666667,0.566666667,0.533333333,0.733333333,0.533333333,0.566666667,0.533333333,0.366666667,0.466666667,0.533333333,0.466666667,0.666666667,0.633333333,0.6,0.6,0.633333333,0.466666667,0.433333333,0.666666667,0.466666667,0.433333333,0.6,0.633333333
BeetleFly,0.75,0.75,0.6,0.7,0.8,0.75,0.75,0.7,0.75,0.7,0.8,0.8,0.7,0.65,0.5,0.75,0.7,0.7,0.75,0.7,0.7,0.7,0.7,0.7,0.85,0.9,0.7,0.7,0.65,0.8,0.85,0.7,0.9,0.65,0.8,0.9,0.75,0.9,0.55,0.7,0.7,0.7,0.75,0.7,0.8,0.8,0.65,0.85,0.75,0.85,0.75,0.75,0.7,0.8,0.75,0.65,0.6,0.85,0.7,0.7,0.8,0.9,0.75,0.75,0.65,0.85,0.8,0.75,0.9,0.65,0.9,0.55,0.75,0.85,0.8,0.8,0.55,0.9,0.75,0.6,0.7,0.75,0.75,0.85,0.9,0.75,0.75,0.8,0.7,0.85,0.7,0.8,0.7,0.75,0.65,0.75,0.8,0.8,0.55,0.7
BirdChicken,0.75,0.75,0.95,0.75,0.8,0.6,0.65,0.7,0.8,0.75,0.8,0.8,0.9,0.85,0.7,0.8,0.75,0.6,0.9,0.8,0.8,1,0.5,0.65,0.8,0.8,0.85,0.75,0.6,0.8,0.8,0.7,0.8,0.7,0.7,0.75,0.55,0.75,0.7,0.85,0.75,0.9,0.85,0.75,0.7,0.75,0.7,0.75,0.8,0.7,0.7,0.9,0.95,0.85,0.75,0.8,0.75,0.7,0.8,0.85,0.75,0.65,0.95,0.7,0.8,0.85,0.8,0.85,0.85,0.8,0.85,0.75,0.75,0.8,0.85,0.65,0.7,0.8,0.75,0.9,0.75,0.8,0.8,0.75,0.8,0.85,0.65,0.9,0.9,0.9,0.95,0.75,0.7,0.85,0.85,0.65,0.9,0.8,0.85,0.85
Car,0.766666667,0.783333333,0.833333333,0.75,0.666666667,0.75,0.75,0.833333333,0.816666667,0.7,0.716666667,0.783333333,0.733333333,0.783333333,0.783333333,0.733333333,0.716666667,0.833333333,0.7,0.783333333,0.816666667,0.783333333,0.75,0.75,0.733333333,0.683333333,0.75,0.75,0.733333333,0.75,0.766666667,0.633333333,0.733333333,0.833333333,0.75,0.8,0.75,0.75,0.816666667,0.8,0.75,0.766666667,0.816666667,0.633333333,0.666666667,0.716666667,0.7,0.816666667,0.716666667,0.783333333,0.716666667,0.75,0.783333333,0.8,0.75,0.766666667,0.8,0.75,0.8,0.666666667,0.733333333,0.783333333,0.766666667,0.766666667,0.85,0.733333333,0.75,0.716666667,0.7,0.833333333,0.766666667,0.783333333,0.75,0.733333333,0.7,0.733333333,0.816666667,0.816666667,0.733333333,0.766666667,0.733333333,0.616666667,0.833333333,0.633333333,0.75,0.716666667,0.816666667,0.8,0.8,0.75,0.766666667,0.816666667,0.766666667,0.766666667,0.816666667,0.85,0.783333333,0.816666667,0.683333333,0.8
CBF,0.997777778,0.962222222,0.821111111,0.975555556,0.996666667,0.967777778,0.99,0.974444444,0.973333333,0.997777778,0.991111111,0.97,0.99,1,1,0.996666667,0.985555556,0.995555556,0.997777778,0.938888889,0.977777778,0.995555556,0.958888889,0.997777778,0.99,0.971111111,0.992222222,0.992222222,0.992222222,0.992222222,0.996666667,0.972222222,0.998888889,0.977777778,0.976666667,0.972222222,0.973333333,0.993333333,0.987777778,0.958888889,0.981111111,0.942222222,1,0.985555556,0.997777778,0.938888889,0.998888889,0.992222222,0.921111111,0.985555556,0.868888889,1,1,0.982222222,0.99,0.943333333,0.985555556,0.998888889,0.977777778,0.996666667,0.996666667,0.995555556,0.997777778,0.987777778,0.984444444,0.998888889,0.994444444,0.904444444,0.967777778,0.995555556,0.99,0.987777778,0.998888889,0.998888889,0.875555556,0.998888889,0.977777778,0.991111111,0.992222222,0.983333333,0.992222222,0.998888889,0.992222222,0.99,0.996666667,0.991111111,0.992222222,0.926666667,0.944444444,0.973333333,0.903333333,0.984444444,0.952222222,0.964444444,0.991111111,0.988888889,0.96,1,0.987777778,0.998888889
ChlorineConcentration,0.659895833,0.683333333,0.668229167,0.6640625,0.677604167,0.666666667,0.673177083,0.682552083,0.659375,0.659635417,0.666666667,0.646875,0.65546875,0.663802083,0.656510417,0.667447917,0.669010417,0.668489583,0.659114583,0.656510417,0.65703125,0.631510417,0.665885417,0.671614583,0.68203125,0.668229167,0.64609375,0.650260417,0.669270833,0.645572917,0.675260417,0.673958333,0.6609375,0.664583333,0.6734375,0.66796875,0.66875,0.651041667,0.680729167,0.672916667,0.672135417,0.666666667,0.667708333,0.643489583,0.654166667,0.661458333,0.676822917,0.64453125,0.658333333,0.66796875,0.653125,0.660416667,0.675,0.669791667,0.672395833,0.666145833,0.655729167,0.65625,0.67421875,0.65859375,0.6640625,0.665885417,0.66640625,0.65703125,0.667447917,0.669270833,0.664583333,0.665625,0.65625,0.66640625,0.651822917,0.6796875,0.671614583,0.668489583,0.666666667,0.673177083,0.673177083,0.655208333,0.669791667,0.663020833,0.657291667,0.66796875,0.669791667,0.671875,0.662760417,0.66796875,0.658072917,0.648177083,0.649479167,0.6796875,0.670052083,0.664322917,0.652604167,0.661458333,0.655729167,0.657552083,0.669791667,0.658854167,0.658072917,0.674479167
CinCECGtorso,0.887681159,0.861594203,0.914492754,0.907971014,0.923188406,0.863043478,0.869565217,0.910144928,0.89057971,0.886231884,0.855797101,0.796376812,0.935507246,0.942028986,0.897101449,0.9,0.923913043,0.929710145,0.912318841,0.879710145,0.847101449,0.956521739,0.813768116,0.899275362,0.893478261,0.884057971,0.948550725,0.927536232,0.918115942,0.898550725,0.857246377,0.863043478,0.858695652,0.888405797,0.877536232,0.902898551,0.877536232,0.882608696,0.955072464,0.896376812,0.934057971,0.780434783,0.872463768,0.955797101,0.857246377,0.926811594,0.858695652,0.882608696,0.977536232,0.928985507,0.923913043,0.882608696,0.910869565,0.932608696,0.905072464,0.874637681,0.955797101,0.879710145,0.901449275,0.910869565,0.926086957,0.957971014,0.899275362,0.878985507,0.879710145,0.900724638,0.857246377,0.896376812,0.903623188,0.958695652,0.936231884,0.884782609,0.946376812,0.906521739,0.963768116,0.91884058,0.847101449,0.876811594,0.948550725,0.825362319,0.882608696,0.927536232,0.893478261,0.897101449,0.896376812,0.960869565,0.904347826,0.898550725,0.845652174,0.839130435,0.926811594,0.952898551,0.867391304,0.873188406,0.856521739,0.95,0.976811594,0.884782609,0.860869565,0.878985507
Coffee,1,0.964285714,0.964285714,1,1,1,0.964285714,1,0.892857143,1,1,0.964285714,1,0.928571429,1,1,1,0.928571429,1,1,1,1,0.964285714,1,1,0.928571429,0.964285714,0.964285714,0.928571429,0.964285714,0.928571429,1,1,1,1,0.928571429,1,1,1,0.964285714,0.928571429,1,1,0.892857143,1,1,0.964285714,1,1,0.964285714,0.928571429,1,0.964285714,1,1,0.964285714,1,1,1,1,1,1,1,0.964285714,1,0.964285714,1,1,0.964285714,1,1,1,1,1,1,1,1,1,0.964285714,0.964285714,0.892857143,1,1,0.928571429,1,1,1,0.964285714,1,0.964285714,1,1,0.964285714,1,0.964285714,0.928571429,1,1,0.928571429,1
