Adiac,0.250639386,0.245524297,0.245524297,0.235294118,0.227621483,0.253196931,0.250639386,0.248081841,0.237851662,0.235294118,0.240409207,0.253196931,0.204603581,0.265984655,0.250639386,0.253196931,0.250639386,0.230179028,0.227621483,0.255754476,0.248081841,0.230179028,0.212276215,0.232736573,0.237851662,0.232736573,0.245524297,0.248081841,0.245524297,0.230179028,0.237851662,0.242966752,0.230179028,0.248081841,0.235294118,0.240409207,0.222506394,0.25831202,0.237851662,0.250639386,0.237851662,0.232736573,0.255754476,0.255754476,0.255754476,0.222506394,0.245524297,0.248081841,0.253196931,0.245524297,0.230179028,0.237851662,0.225063939,0.237851662,0.225063939,0.232736573,0.25831202,0.227621483,0.225063939,0.245524297,0.253196931,0.225063939,0.255754476,0.222506394,0.237851662,0.242966752,0.260869565,0.242966752,0.253196931,0.260869565,0.232736573,0.253196931,0.250639386,0.242966752,0.242966752,0.260869565,0.260869565,0.237851662,0.248081841,0.248081841,0.232736573,0.240409207,0.245524297,0.248081841,0.232736573,0.250639386,0.253196931,0.232736573,0.232736573,0.240409207,0.237851662,0.240409207,0.240409207,0.26342711,0.240409207,0.248081841,0.240409207,0.227621483,0.225063939,0.225063939
ArrowHead,0.788571429,0.737142857,0.811428571,0.731428571,0.817142857,0.84,0.754285714,0.828571429,0.754285714,0.817142857,0.805714286,0.811428571,0.811428571,0.788571429,0.822857143,0.845714286,0.765714286,0.794285714,0.731428571,0.817142857,0.851428571,0.84,0.834285714,0.834285714,0.84,0.822857143,0.851428571,0.8,0.811428571,0.771428571,0.8,0.845714286,0.874285714,0.8,0.817142857,0.737142857,0.782857143,0.8,0.742857143,0.754285714,0.88,0.805714286,0.817142857,0.714285714,0.84,0.822857143,0.622857143,0.748571429,0.817142857,0.822857143,0.794285714,0.817142857,0.8,0.765714286,0.714285714,0.862857143,0.822857143,0.828571429,0.84,0.857142857,0.811428571,0.811428571,0.714285714,0.748571429,0.84,0.748571429,0.662857143,0.834285714,0.782857143,0.84,0.811428571,0.737142857,0.822857143,0.725714286,0.834285714,0.828571429,0.754285714,0.782857143,0.754285714,0.845714286,0.834285714,0.84,0.817142857,0.777142857,0.834285714,0.794285714,0.834285714,0.822857143,0.84,0.777142857,0.685714286,0.702857143,0.805714286,0.702857143,0.8,0.794285714,0.782857143,0.84,0.817142857,0.834285714
Beef,0.766666667,0.666666667,0.666666667,0.566666667,0.5,0.5,0.6,0.7,0.6,0.633333333,0.566666667,0.633333333,0.6,0.366666667,0.533333333,0.6,0.433333333,0.666666667,0.333333333,0.6,0.466666667,0.6,0.5,0.566666667,0.533333333,0.366666667,0.566666667,0.566666667,0.6,0.5,0.666666667,0.466666667,0.566666667,0.5,0.5,0.5,0.566666667,0.3,0.633333333,0.466666667,0.466666667,0.6,0.5,0.466666667,0.566666667,0.4,0.366666667,0.7,0.666666667,0.6,0.466666667,0.633333333,0.4,0.633333333,0.6,0.5,0.566666667,0.666666667,0.5,0.5,0.533333333,0.566666667,0.266666667,0.6,0.6,0.466666667,0.5,0.533333333,0.533333333,0.533333333,0.533333333,0.633333333,0.6,0.533333333,0.533333333,0.433333333,0.466666667,0.633333333,0.466666667,0.366666667,0.7,0.566666667,0.6,0.6,0.433333333,0.566666667,0.533333333,0.6,0.366666667,0.6,0.666666667,0.533333333,0.666666667,0.466666667,0.5,0.566666667,0.433333333,0.5,0.633333333,0.666666667
BeetleFly,0.8,0.75,0.65,0.85,0.6,0.75,0.8,0.75,0.85,0.85,0.75,0.7,0.8,0.7,0.75,0.75,0.85,0.75,0.8,0.8,0.75,0.65,0.8,0.8,0.75,0.8,0.85,0.85,0.65,0.85,0.9,0.75,0.85,0.7,0.7,0.65,0.85,0.9,0.8,0.85,0.7,0.75,0.95,0.6,0.85,0.6,0.75,0.85,0.8,0.85,0.7,0.75,0.7,0.8,0.75,0.8,0.75,0.6,0.75,0.8,0.85,0.7,0.75,0.75,0.85,0.8,0.8,0.75,0.75,0.75,0.85,0.8,0.75,0.85,0.75,0.8,0.65,0.9,0.8,0.9,0.85,0.8,0.75,0.8,0.75,0.8,0.65,0.85,0.8,0.75,0.6,0.85,0.8,0.8,0.7,0.8,0.85,0.75,0.8,0.8
BirdChicken,0.8,0.9,0.75,0.9,0.8,0.8,0.75,0.55,0.75,0.65,0.9,0.8,0.9,0.6,0.7,0.9,0.55,0.9,0.9,0.7,0.75,1,0.55,0.85,0.8,0.9,0.8,0.8,0.75,0.8,0.8,0.7,0.95,0.9,0.8,0.9,0.55,0.9,0.8,0.9,0.7,1,0.6,0.7,0.7,0.9,0.6,0.8,0.8,0.7,0.75,0.75,1,0.8,0.8,0.85,0.75,0.65,0.75,0.9,0.7,0.75,0.8,0.55,0.9,0.95,0.85,0.8,0.9,0.9,0.8,0.65,0.8,0.85,1,0.7,0.7,0.9,0.8,0.75,0.75,0.95,0.75,0.75,0.8,0.9,0.8,0.9,0.9,0.8,0.95,0.85,0.8,0.8,0.9,0.7,0.9,0.85,0.75,0.9
Car,0.833333333,0.766666667,0.766666667,0.766666667,0.766666667,0.8,0.766666667,0.833333333,0.75,0.783333333,0.766666667,0.8,0.75,0.8,0.75,0.733333333,0.833333333,0.766666667,0.716666667,0.766666667,0.783333333,0.7,0.783333333,0.783333333,0.783333333,0.783333333,0.733333333,0.783333333,0.766666667,0.733333333,0.75,0.816666667,0.8,0.766666667,0.8,0.816666667,0.85,0.733333333,0.816666667,0.833333333,0.716666667,0.683333333,0.716666667,0.766666667,0.666666667,0.733333333,0.833333333,0.833333333,0.733333333,0.816666667,0.8,0.783333333,0.733333333,0.783333333,0.866666667,0.816666667,0.816666667,0.9,0.85,0.8,0.65,0.833333333,0.75,0.766666667,0.866666667,0.7,0.766666667,0.816666667,0.766666667,0.816666667,0.766666667,0.75,0.716666667,0.766666667,0.733333333,0.75,0.816666667,0.816666667,0.716666667,0.783333333,0.766666667,0.75,0.833333333,0.733333333,0.733333333,0.85,0.8,0.783333333,0.816666667,0.833333333,0.833333333,0.783333333,0.7,0.75,0.8,0.8,0.783333333,0.833333333,0.733333333,0.816666667
CBF,0.99,0.973333333,0.977777778,0.978888889,0.976666667,0.995555556,0.99,0.982222222,0.998888889,0.997777778,0.993333333,0.971111111,0.983333333,0.994444444,0.991111111,0.984444444,0.981111111,0.994444444,0.986666667,0.984444444,0.971111111,0.987777778,0.958888889,0.993333333,0.992222222,0.983333333,0.988888889,0.988888889,0.986666667,0.973333333,0.996666667,0.982222222,0.988888889,0.977777778,0.982222222,0.985555556,0.961111111,0.991111111,0.991111111,0.986666667,0.998888889,0.961111111,0.995555556,0.953333333,0.99,0.994444444,0.994444444,0.991111111,0.945555556,0.984444444,0.998888889,0.998888889,0.982222222,0.96,0.988888889,0.963333333,0.982222222,0.982222222,0.998888889,0.997777778,0.987777778,0.988888889,0.996666667,0.967777778,0.985555556,0.991111111,0.986666667,0.948888889,0.993333333,0.987777778,0.983333333,0.986666667,0.997777778,0.981111111,0.924444444,0.987777778,0.992222222,0.992222222,0.977777778,0.99,0.992222222,0.994444444,0.976666667,0.988888889,0.975555556,0.984444444,0.991111111,0.932222222,0.984444444,0.973333333,0.963333333,0.993333333,0.972222222,0.975555556,0.987777778,0.983333333,0.981111111,0.99,0.993333333,0.99
ChlorineConcentration,0.719791667,0.702604167,0.708333333,0.702604167,0.704166667,0.72109375,0.71484375,0.675520833,0.678385417,0.697135417,0.698958333,0.699739583,0.705989583,0.711458333,0.70390625,0.702604167,0.717708333,0.67734375,0.7125,0.68203125,0.703125,0.677604167,0.697916667,0.71640625,0.709375,0.706770833,0.68359375,0.68984375,0.695833333,0.7015625,0.707552083,0.7203125,0.738541667,0.684114583,0.71953125,0.70234375,0.693489583,0.659375,0.71171875,0.708333333,0.699479167,0.698958333,0.70078125,0.68671875,0.692708333,0.711197917,0.69921875,0.6921875,0.705989583,0.71328125,0.70546875,0.6765625,0.709375,0.69921875,0.704947917,0.722395833,0.673697917,0.695833333,0.71171875,0.698177083,0.701041667,0.702604167,0.705208333,0.692447917,0.706770833,0.71640625,0.7078125,0.693229167,0.704427083,0.7,0.696875,0.67890625,0.713802083,0.692447917,0.707552083,0.714322917,0.682552083,0.682552083,0.697395833,0.6828125,0.700520833,0.722135417,0.708854167,0.702083333,0.65859375,0.68984375,0.695572917,0.6890625,0.694791667,0.712760417,0.68671875,0.691666667,0.671614583,0.699479167,0.659635417,0.678385417,0.70625,0.66796875,0.697135417,0.697135417
CinCECGtorso,0.946376812,0.923188406,0.925362319,0.965942029,0.869565217,0.954347826,0.90942029,0.980434783,0.872463768,0.899275362,0.894927536,0.828985507,0.921014493,0.973913043,0.942753623,0.938405797,0.912318841,0.956521739,0.877536232,0.942753623,0.842028986,0.952898551,0.956521739,0.934782609,0.9,0.916666667,0.942028986,0.920289855,0.910869565,0.924637681,0.95,0.957971014,0.908695652,0.886956522,0.87826087,0.947826087,0.97173913,0.853623188,0.961594203,0.956521739,0.889855072,0.846376812,0.935507246,0.96884058,0.949275362,0.95942029,0.919565217,0.889855072,0.968115942,0.964492754,0.96884058,0.961594203,0.912318841,0.975362319,0.865942029,0.97173913,0.965942029,0.98115942,0.891304348,0.951449275,0.981884058,0.920289855,0.969565217,0.870289855,0.956521739,0.837681159,0.946376812,0.935507246,0.921014493,0.969565217,0.946376812,0.963768116,0.926086957,0.878985507,0.958695652,0.955797101,0.842028986,0.94057971,0.855797101,0.929710145,0.915942029,0.947101449,0.918115942,0.944202899,0.938405797,0.972463768,0.938405797,0.886956522,0.893478261,0.93115942,0.897101449,0.947101449,0.973913043,0.923913043,0.942753623,0.970289855,0.96884058,0.957246377,0.936231884,0.889130435
Coffee,1,0.821428571,1,0.892857143,0.928571429,1,0.928571429,1,0.892857143,0.964285714,1,1,1,1,1,0.964285714,1,1,1,0.964285714,0.892857143,0.928571429,1,1,1,1,1,0.964285714,0.928571429,1,0.964285714,1,1,0.964285714,1,0.821428571,1,1,1,1,1,0.928571429,1,0.892857143,1,1,0.964285714,0.928571429,0.928571429,1,0.928571429,0.928571429,0.964285714,1,1,1,1,1,1,1,0.964285714,0.964285714,1,1,1,1,1,0.964285714,1,1,1,1,1,1,1,1,1,1,0.928571429,1,0.964285714,1,0.964285714,0.964285714,1,1,1,1,1,1,1,0.964285714,1,1,1,1,0.964285714,0.964285714,1,1
