folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
CricketY,0.7769230769230769,0.8102564102564103,0.7974358974358975,0.7076923076923077,0.7794871794871795,0.7794871794871795,0.7666666666666667,0.7512820512820513,0.7666666666666667,0.7743589743589744,0.7666666666666667,0.7666666666666667,0.7487179487179487,0.7692307692307693,0.8,0.735897435897436,0.7897435897435897,0.7743589743589744,0.7743589743589744,0.7538461538461538,0.7743589743589744,0.7769230769230769,0.782051282051282,0.7948717948717948,0.7410256410256411,0.7846153846153846,0.764102564102564,0.7512820512820513,0.7769230769230769,0.7512820512820513
CricketZ,0.8102564102564103,0.7948717948717948,0.8051282051282052,0.7871794871794872,0.8102564102564103,0.8256410256410256,0.8051282051282052,0.8076923076923077,0.8589743589743589,0.7897435897435897,0.7923076923076923,0.823076923076923,0.7897435897435897,0.8307692307692308,0.7846153846153846,0.7846153846153846,0.7794871794871795,0.823076923076923,0.8153846153846154,0.8153846153846154,0.8333333333333334,0.7897435897435897,0.8256410256410256,0.782051282051282,0.7871794871794872,0.782051282051282,0.8384615384615385,0.7846153846153846,0.7948717948717948,0.8153846153846154
Crop,0.7329166666666667,0.7346428571428572,0.7324404761904761,0.7326785714285714,0.7401190476190476,0.7292857142857143,0.7323214285714286,0.7350595238095238,0.7330952380952381,0.7340476190476191,0.7329166666666667,0.7297023809523809,0.7333928571428572,0.7398214285714285,0.7364880952380952,0.7360714285714286,0.7353571428571428,0.7345833333333334,0.7336904761904762,0.7382738095238095,0.7320238095238095,0.7352380952380952,0.7364285714285714,0.7351190476190477,0.7360714285714286,0.7378571428571429,0.7361309523809524,0.7314880952380952,0.7361904761904762,0.7385714285714285
DiatomSizeReduction,0.7973856209150327,0.8725490196078431,0.8758169934640523,0.8366013071895425,0.8888888888888888,0.8790849673202614,0.8725490196078431,0.8758169934640523,0.8823529411764706,0.8888888888888888,0.8496732026143791,0.869281045751634,0.8366013071895425,0.8366013071895425,0.8333333333333334,0.8725490196078431,0.826797385620915,0.8758169934640523,0.8627450980392157,0.8660130718954249,0.7483660130718954,0.869281045751634,0.8725490196078431,0.8496732026143791,0.8921568627450981,0.803921568627451,0.869281045751634,0.8758169934640523,0.8562091503267973,0.8790849673202614
DistalPhalanxOutlineAgeGroup,0.7553956834532374,0.8273381294964028,0.7913669064748201,0.8489208633093526,0.7482014388489209,0.762589928057554,0.8345323741007195,0.7985611510791367,0.7985611510791367,0.8057553956834532,0.7697841726618705,0.7841726618705036,0.8489208633093526,0.7482014388489209,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.7769784172661871,0.8201438848920863,0.7697841726618705,0.8129496402877698,0.7913669064748201,0.7985611510791367,0.7913669064748201,0.7841726618705036,0.762589928057554,0.7913669064748201,0.8129496402877698,0.762589928057554
DistalPhalanxOutlineCorrect,0.7789855072463768,0.8297101449275363,0.8514492753623188,0.7971014492753623,0.8297101449275363,0.8405797101449275,0.822463768115942,0.8079710144927537,0.8260869565217391,0.8478260869565217,0.8405797101449275,0.8623188405797102,0.8260869565217391,0.8405797101449275,0.8152173913043478,0.8333333333333334,0.8623188405797102,0.822463768115942,0.8405797101449275,0.8152173913043478,0.8369565217391305,0.8405797101449275,0.8043478260869565,0.8514492753623188,0.8586956521739131,0.8405797101449275,0.8152173913043478,0.8260869565217391,0.782608695652174,0.8333333333333334
DistalPhalanxTW,0.7122302158273381,0.7266187050359713,0.6834532374100719,0.6906474820143885,0.7122302158273381,0.7122302158273381,0.7122302158273381,0.6834532374100719,0.697841726618705,0.697841726618705,0.6618705035971223,0.6906474820143885,0.6474820143884892,0.6690647482014388,0.7266187050359713,0.7194244604316546,0.7194244604316546,0.6834532374100719,0.7122302158273381,0.7122302158273381,0.697841726618705,0.6906474820143885,0.6618705035971223,0.6906474820143885,0.7338129496402878,0.6690647482014388,0.7050359712230215,0.7266187050359713,0.6402877697841727,0.697841726618705
Earthquakes,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7266187050359713,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7194244604316546,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7338129496402878,0.7482014388489209,0.7338129496402878,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7338129496402878
ECG200,0.84,0.78,0.85,0.83,0.84,0.9,0.84,0.87,0.88,0.9,0.84,0.81,0.85,0.84,0.8,0.86,0.85,0.8,0.87,0.79,0.8,0.8,0.83,0.9,0.83,0.84,0.8,0.89,0.84,0.85
ECG5000,0.9435555555555556,0.9415555555555556,0.9435555555555556,0.9457777777777778,0.9433333333333334,0.9406666666666667,0.9413333333333334,0.9422222222222222,0.9462222222222222,0.9444444444444444,0.9448888888888889,0.9386666666666666,0.9448888888888889,0.9415555555555556,0.9384444444444444,0.9411111111111111,0.9428888888888889,0.9437777777777778,0.9433333333333334,0.9437777777777778,0.9433333333333334,0.9448888888888889,0.9415555555555556,0.9413333333333334,0.9357777777777778,0.946,0.9411111111111111,0.9384444444444444,0.9393333333333334,0.9373333333333334
