folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ChlorineConcentration,0.8067708333333333,0.8244791666666667,0.8059895833333334,0.8098958333333334,0.8182291666666667,0.8104166666666667,0.809375,0.8013020833333333,0.8046875,0.778125,0.81015625,0.78203125,0.8161458333333333,0.8182291666666667,0.8106770833333333,0.77734375,0.75390625,0.8052083333333333,0.7825520833333334,0.7473958333333334,0.8010416666666667,0.7809895833333333,0.80234375,0.8010416666666667,0.74296875,0.79140625,0.7716145833333333,0.7908854166666667,0.80625,0.76796875
CinCECGTorso,0.8369565217391305,0.8173913043478261,0.8572463768115942,0.894927536231884,0.8927536231884058,0.8043478260869565,0.8101449275362319,0.8869565217391304,0.8536231884057971,0.8702898550724638,0.8789855072463768,0.8818840579710145,0.8818840579710145,0.8942028985507247,0.8260869565217391,0.8797101449275362,0.8543478260869565,0.9253623188405797,0.8681159420289855,0.9007246376811594,0.8282608695652174,0.8746376811594203,0.803623188405797,0.8847826086956522,0.8347826086956521,0.8760869565217392,0.894927536231884,0.9,0.8630434782608696,0.8797101449275362
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.752,0.832,0.824,0.84,0.836,0.856,0.88,0.828,0.856,0.844,0.852,0.864,0.848,0.852,0.856,0.812,0.852,0.864,0.828,0.824,0.876,0.88,0.832,0.848,0.84,0.84,0.832,0.864,0.82,0.84
CricketX,0.8256410256410256,0.8461538461538461,0.8333333333333334,0.8282051282051283,0.8358974358974359,0.8358974358974359,0.8358974358974359,0.8564102564102564,0.8538461538461538,0.8384615384615385,0.8384615384615385,0.8487179487179487,0.8589743589743589,0.8358974358974359,0.841025641025641,0.8641025641025641,0.8564102564102564,0.8564102564102564,0.7974358974358975,0.8589743589743589,0.8153846153846154,0.8358974358974359,0.841025641025641,0.8384615384615385,0.823076923076923,0.8461538461538461,0.8512820512820513,0.841025641025641,0.841025641025641,0.8358974358974359
CricketY,0.8564102564102564,0.8153846153846154,0.8179487179487179,0.8153846153846154,0.8307692307692308,0.841025641025641,0.8358974358974359,0.8435897435897436,0.8564102564102564,0.8307692307692308,0.8589743589743589,0.8717948717948718,0.8538461538461538,0.8435897435897436,0.8589743589743589,0.7974358974358975,0.8641025641025641,0.8564102564102564,0.8384615384615385,0.8487179487179487,0.8641025641025641,0.8538461538461538,0.8692307692307693,0.8384615384615385,0.8384615384615385,0.8384615384615385,0.8435897435897436,0.8384615384615385,0.8743589743589744,0.8461538461538461
CricketZ,0.8589743589743589,0.841025641025641,0.8717948717948718,0.8512820512820513,0.8692307692307693,0.8538461538461538,0.8846153846153846,0.8641025641025641,0.8717948717948718,0.8461538461538461,0.8333333333333334,0.8564102564102564,0.8282051282051283,0.8666666666666667,0.8384615384615385,0.8461538461538461,0.8307692307692308,0.8589743589743589,0.8487179487179487,0.8666666666666667,0.8641025641025641,0.8461538461538461,0.8615384615384616,0.8333333333333334,0.8538461538461538,0.8512820512820513,0.8615384615384616,0.8333333333333334,0.8179487179487179,0.8589743589743589
Crop,0.7514285714285714,0.7500595238095238,0.7508333333333334,0.7544047619047619,0.7555952380952381,0.7471428571428571,0.7504761904761905,0.7516071428571428,0.7516666666666667,0.7520238095238095,0.7554761904761905,0.7501190476190476,0.7502380952380953,0.7567261904761905,0.7526190476190476,0.7475595238095238,0.7532142857142857,0.7516071428571428,0.75125,0.75625,0.7486904761904762,0.7494642857142857,0.7516666666666667,0.7498809523809524,0.7520833333333333,0.758095238095238,0.7542857142857143,0.7461309523809524,0.7519642857142858,0.7526190476190476
DiatomSizeReduction,0.9673202614379085,0.9771241830065359,0.9019607843137255,0.9084967320261438,0.9869281045751634,0.9901960784313726,0.9673202614379085,0.9705882352941176,0.9869281045751634,0.9738562091503268,0.8856209150326797,0.9673202614379085,0.9836601307189542,0.9477124183006536,0.954248366013072,0.8986928104575164,0.9509803921568627,0.9705882352941176,0.9836601307189542,0.8986928104575164,0.9836601307189542,0.9738562091503268,0.9673202614379085,1.0,0.8921568627450981,0.9836601307189542,0.9444444444444444,0.9836601307189542,0.9738562091503268,0.9869281045751634
DistalPhalanxOutlineAgeGroup,0.7482014388489209,0.8201438848920863,0.8201438848920863,0.8848920863309353,0.7482014388489209,0.7697841726618705,0.8561151079136691,0.8129496402877698,0.762589928057554,0.7913669064748201,0.8057553956834532,0.8345323741007195,0.841726618705036,0.8129496402877698,0.8489208633093526,0.8273381294964028,0.7841726618705036,0.8345323741007195,0.8057553956834532,0.8201438848920863,0.7482014388489209,0.8273381294964028,0.7985611510791367,0.8201438848920863,0.8129496402877698,0.8201438848920863,0.7913669064748201,0.8705035971223022,0.8489208633093526,0.8057553956834532
DistalPhalanxOutlineCorrect,0.7608695652173914,0.8007246376811594,0.855072463768116,0.8115942028985508,0.7971014492753623,0.8623188405797102,0.8188405797101449,0.8079710144927537,0.8152173913043478,0.8297101449275363,0.8297101449275363,0.8405797101449275,0.855072463768116,0.8514492753623188,0.8115942028985508,0.8260869565217391,0.8442028985507246,0.8007246376811594,0.822463768115942,0.822463768115942,0.8188405797101449,0.8297101449275363,0.7753623188405797,0.8333333333333334,0.8478260869565217,0.8297101449275363,0.7862318840579711,0.8043478260869565,0.8152173913043478,0.8333333333333334
DistalPhalanxTW,0.7194244604316546,0.6906474820143885,0.7122302158273381,0.7266187050359713,0.7410071942446043,0.6834532374100719,0.6834532374100719,0.7266187050359713,0.7194244604316546,0.7266187050359713,0.7122302158273381,0.7194244604316546,0.60431654676259,0.6690647482014388,0.697841726618705,0.7050359712230215,0.697841726618705,0.6762589928057554,0.7194244604316546,0.6834532374100719,0.7194244604316546,0.6834532374100719,0.6834532374100719,0.7266187050359713,0.697841726618705,0.6834532374100719,0.7122302158273381,0.7122302158273381,0.6762589928057554,0.7338129496402878
