folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ChlorineConcentration,0.7651041666666667,0.76953125,0.7703125,0.76328125,0.76953125,0.7619791666666667,0.7778645833333333,0.7731770833333333,0.7625,0.740625,0.7669270833333334,0.74609375,0.7825520833333334,0.75703125,0.7729166666666667,0.7690104166666667,0.7744791666666667,0.7567708333333333,0.7580729166666667,0.7697916666666667,0.7591145833333334,0.7494791666666667,0.7799479166666666,0.7643229166666666,0.7880208333333333,0.7424479166666667,0.7341145833333333,0.75078125,0.7572916666666667,0.7442708333333333
CinCECGTorso,0.9905797101449275,0.9478260869565217,0.9557971014492753,0.9739130434782609,0.9601449275362319,0.9731884057971014,0.9231884057971015,0.9608695652173913,0.9289855072463769,0.9695652173913043,0.9659420289855073,0.9594202898550724,0.9572463768115942,0.9543478260869566,0.9478260869565217,0.9586956521739131,0.9557971014492753,0.9565217391304348,0.967391304347826,0.9905797101449275,0.9601449275362319,0.9775362318840579,0.9521739130434783,0.9543478260869566,0.9123188405797101,0.941304347826087,0.9543478260869566,0.9615942028985507,0.9688405797101449,0.9420289855072463
Coffee,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,0.9642857142857143,0.8928571428571429,1.0,1.0,1.0,1.0,0.8928571428571429,1.0,1.0,0.8928571428571429,1.0
Computers,0.776,0.764,0.792,0.776,0.752,0.752,0.724,0.732,0.776,0.796,0.78,0.78,0.796,0.768,0.784,0.78,0.788,0.8,0.764,0.788,0.8,0.772,0.756,0.772,0.828,0.768,0.764,0.792,0.808,0.792
CricketX,0.6974358974358974,0.7256410256410256,0.7333333333333333,0.7128205128205128,0.7230769230769231,0.7102564102564103,0.7384615384615385,0.7461538461538462,0.7487179487179487,0.7307692307692307,0.7410256410256411,0.7538461538461538,0.7307692307692307,0.7205128205128205,0.717948717948718,0.7384615384615385,0.7282051282051282,0.717948717948718,0.7205128205128205,0.7512820512820513,0.6717948717948717,0.7025641025641025,0.7205128205128205,0.7384615384615385,0.7256410256410256,0.7076923076923077,0.7128205128205128,0.7102564102564103,0.7564102564102564,0.735897435897436
CricketY,0.7384615384615385,0.7282051282051282,0.7487179487179487,0.717948717948718,0.7,0.7,0.7461538461538462,0.7897435897435897,0.764102564102564,0.7384615384615385,0.7435897435897436,0.7666666666666667,0.6974358974358974,0.7512820512820513,0.7615384615384615,0.7153846153846154,0.7692307692307693,0.7974358974358975,0.7487179487179487,0.7461538461538462,0.7435897435897436,0.7717948717948718,0.7461538461538462,0.8076923076923077,0.7538461538461538,0.7769230769230769,0.7487179487179487,0.7307692307692307,0.7717948717948718,0.735897435897436
CricketZ,0.7512820512820513,0.7538461538461538,0.7717948717948718,0.764102564102564,0.7589743589743589,0.7333333333333333,0.7564102564102564,0.7615384615384615,0.7589743589743589,0.7461538461538462,0.7589743589743589,0.7564102564102564,0.7230769230769231,0.7538461538461538,0.7384615384615385,0.6948717948717948,0.7333333333333333,0.7538461538461538,0.7205128205128205,0.7615384615384615,0.7384615384615385,0.7282051282051282,0.7230769230769231,0.7487179487179487,0.7435897435897436,0.7512820512820513,0.7743589743589744,0.7384615384615385,0.7282051282051282,0.7410256410256411
Crop,0.7613095238095238,0.7563690476190477,0.7548214285714285,0.758452380952381,0.7538095238095238,0.7493452380952381,0.7575,0.7542261904761904,0.7560119047619047,0.7547619047619047,0.7463095238095238,0.7541071428571429,0.7554166666666666,0.7496428571428572,0.7551190476190476,0.7539880952380953,0.7528571428571429,0.7569047619047619,0.7520833333333333,0.7603571428571428,0.7529761904761905,0.7578571428571429,0.758452380952381,0.7577380952380952,0.7540476190476191,0.7595238095238095,0.7555952380952381,0.7513690476190477,0.7622023809523809,0.7555357142857143
DiatomSizeReduction,0.9379084967320261,0.954248366013072,0.9019607843137255,0.8888888888888888,0.9477124183006536,0.9640522875816994,0.9444444444444444,0.934640522875817,0.9738562091503268,0.9477124183006536,0.8888888888888888,0.9444444444444444,0.9640522875816994,0.934640522875817,0.9313725490196079,0.8888888888888888,0.8986928104575164,0.9640522875816994,0.934640522875817,0.8986928104575164,0.9281045751633987,0.9215686274509803,0.9281045751633987,0.9607843137254902,0.8888888888888888,0.9738562091503268,0.9215686274509803,0.9673202614379085,0.9379084967320261,0.9607843137254902
DistalPhalanxOutlineAgeGroup,0.7266187050359713,0.7985611510791367,0.8057553956834532,0.8633093525179856,0.7697841726618705,0.7769784172661871,0.8273381294964028,0.8345323741007195,0.7769784172661871,0.8129496402877698,0.8201438848920863,0.8489208633093526,0.8129496402877698,0.7913669064748201,0.8345323741007195,0.8273381294964028,0.8129496402877698,0.8345323741007195,0.7913669064748201,0.8201438848920863,0.8057553956834532,0.8201438848920863,0.8057553956834532,0.8489208633093526,0.7985611510791367,0.8489208633093526,0.7697841726618705,0.8345323741007195,0.8561151079136691,0.8489208633093526
